F, [2015-04-07T21:26:50.987294 #25721] FATAL -- default-centos65: The `berkshelf' gem is missing and must be installed or cannot be properly activated. Run `gem install berkshelf` or add the following to your Gemfile if you are using Bundler: `gem 'berkshelf'`.
E, [2015-04-07T21:53:43.135786 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:352:in `public_send'
E, [2015-04-07T21:53:43.135804 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:352:in `block in perform_action'
E, [2015-04-07T21:53:43.135822 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:416:in `call'
E, [2015-04-07T21:53:43.135841 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:416:in `synchronize_or_call'
E, [2015-04-07T21:53:43.135859 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:381:in `block in action'
E, [2015-04-07T21:53:43.135889 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/rubies/ruby-2.2.0/lib/ruby/2.2.0/benchmark.rb:288:in `measure'
E, [2015-04-07T21:53:43.135909 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:380:in `action'
E, [2015-04-07T21:53:43.135928 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:352:in `perform_action'
E, [2015-04-07T21:53:43.135946 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:312:in `converge_action'
E, [2015-04-07T21:53:43.135965 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:292:in `block in transition_to'
E, [2015-04-07T21:53:43.135983 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:291:in `each'
E, [2015-04-07T21:53:43.136001 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:291:in `transition_to'
E, [2015-04-07T21:53:43.136019 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:130:in `converge'
E, [2015-04-07T21:53:43.136047 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command.rb:176:in `public_send'
E, [2015-04-07T21:53:43.136067 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command.rb:176:in `block (2 levels) in run_action'
E, [2015-04-07T21:53:43.136087 #38164] ERROR -- default-centos65: ----------------------
I, [2015-04-07T21:54:38.077371 #38448]  INFO -- default-centos65: -----> Converging <default-centos65>...
I, [2015-04-07T21:54:38.078113 #38448]  INFO -- default-centos65: Preparing files for transfer
I, [2015-04-07T21:54:38.078206 #38448]  INFO -- default-centos65: Preparing dna.json
I, [2015-04-07T21:54:38.078699 #38448]  INFO -- default-centos65: Resolving cookbook dependencies with Berkshelf 3.2.3...
I, [2015-04-07T21:54:38.178738 #38448]  INFO -- default-centos65: Removing non-cookbook files before transfer
I, [2015-04-07T21:54:38.183369 #38448]  INFO -- default-centos65: Preparing validation.pem
I, [2015-04-07T21:54:38.183960 #38448]  INFO -- default-centos65: Preparing client.rb
I, [2015-04-07T21:54:38.242646 #38448]  INFO -- default-centos65: -----> Chef Omnibus installation detected (install only if missing)
I, [2015-04-07T21:54:38.269354 #38448]  INFO -- default-centos65: Transferring files to <default-centos65>
I, [2015-04-07T21:54:39.404178 #38448]  INFO -- default-centos65: Starting Chef Client, version 12.2.1
I, [2015-04-07T21:54:40.599181 #38448]  INFO -- default-centos65: [2015-04-07T19:54:38+00:00] WARN: Child with name 'dna.json' found in multiple directories: /tmp/kitchen/dna.json and /tmp/kitchen/dna.json
I, [2015-04-07T21:54:40.629230 #38448]  INFO -- default-centos65: resolving cookbooks for run list: ["apache-test::default"]
I, [2015-04-07T21:54:40.669200 #38448]  INFO -- default-centos65: Synchronizing Cookbooks:
I, [2015-04-07T21:54:40.686671 #38448]  INFO -- default-centos65:   - apache-test
I, [2015-04-07T21:54:40.686745 #38448]  INFO -- default-centos65: Compiling Cookbooks...
I, [2015-04-07T21:54:40.687731 #38448]  INFO -- default-centos65: 
I, [2015-04-07T21:54:40.687789 #38448]  INFO -- default-centos65: ================================================================================
I, [2015-04-07T21:54:40.687849 #38448]  INFO -- default-centos65: Recipe Compile Error in /tmp/kitchen/cache/cookbooks/apache-test/attributes/default.rb
I, [2015-04-07T21:54:40.687881 #38448]  INFO -- default-centos65: ================================================================================
I, [2015-04-07T21:54:40.687935 #38448]  INFO -- default-centos65: 
I, [2015-04-07T21:54:40.687960 #38448]  INFO -- default-centos65: TypeError
I, [2015-04-07T21:54:40.687983 #38448]  INFO -- default-centos65: ---------
I, [2015-04-07T21:54:40.688006 #38448]  INFO -- default-centos65: no implicit conversion of String into Integer
I, [2015-04-07T21:54:40.688029 #38448]  INFO -- default-centos65: 
I, [2015-04-07T21:54:40.688816 #38448]  INFO -- default-centos65: Cookbook Trace:
I, [2015-04-07T21:54:40.688891 #38448]  INFO -- default-centos65: ---------------
I, [2015-04-07T21:54:40.688937 #38448]  INFO -- default-centos65:   /tmp/kitchen/cache/cookbooks/apache-test/attributes/default.rb:1:in `[]='
I, [2015-04-07T21:54:40.688982 #38448]  INFO -- default-centos65:   /tmp/kitchen/cache/cookbooks/apache-test/attributes/default.rb:1:in `from_file'
I, [2015-04-07T21:54:40.689026 #38448]  INFO -- default-centos65: 
I, [2015-04-07T21:54:40.689068 #38448]  INFO -- default-centos65: Relevant File Content:
I, [2015-04-07T21:54:40.689110 #38448]  INFO -- default-centos65: ----------------------
I, [2015-04-07T21:54:40.689153 #38448]  INFO -- default-centos65: /tmp/kitchen/cache/cookbooks/apache-test/attributes/default.rb:
I, [2015-04-07T21:54:40.689197 #38448]  INFO -- default-centos65: 
I, [2015-04-07T21:54:40.689245 #38448]  INFO -- default-centos65:   1>> ["apache\-test"]["page\-text"] = "Automation for the People"  2:  
